mol_id,smiles,mw,logp,hbd,hba,rtb,tpsa,has_pains,passed_lipinski,is_valid,passed_filter
CHEMBL101_div,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,308.38,3.79,0,2,5,40.62,True,True,True,False
CHEMBL10316_div,c1ccc2c(c1)OCC(C1=NCCN1)O2,204.23,0.83,1,4,1,42.85,False,True,True,True
CHEMBL103_div,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,314.47,4.72,0,2,1,34.14,False,True,True,True
CHEMBL104_div,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,344.85,5.38,0,1,4,17.82,False,False,True,False
CHEMBL105_div,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,334.33,-1.65,3,8,3,146.89,True,True,True,False
CHEMBL106_div,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,306.28,0.74,1,5,5,81.65,False,True,True,True
CHEMBL107_div,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,399.44,2.87,1,6,5,83.09,False,True,True,True
CHEMBL10878_div,COc1ccc2cccc(CCNC(C)=O)c2c1,243.31,2.53,1,2,4,38.33,False,True,True,True
CHEMBL108_div,NC(=O)N1c2ccccc2C=Cc2ccccc21,236.27,3.39,1,1,0,46.33,False,True,True,True
CHEMBL109_div,CCCC(CCC)C(=O)O,144.21,2.29,1,1,5,37.3,False,True,True,True
CHEMBL110_div,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,260.25,1.11,1,4,5,90.06,False,True,True,True
CHEMBL111_div,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,463.8,5.94,1,3,4,50.16,False,False,True,False
CHEMBL11298_div,N[C@@H](CO)C(=O)O,105.09,-1.61,3,3,2,83.55,False,True,True,True
CHEMBL112_div,CC(=O)Nc1ccc(O)cc1,151.16,1.35,2,2,1,49.33,False,True,True,True
CHEMBL113_div,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.19,-1.03,0,3,0,61.82,False,True,True,True
CHEMBL114_div,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,670.86,3.09,5,7,12,166.75,False,False,True,False
CHEMBL115_div,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,613.8,2.87,4,7,11,118.03,False,False,True,False
CHEMBL11608_div,NCCc1ccc(O)cc1,137.18,0.89,2,2,2,46.25,False,True,True,True
CHEMBL11662_div,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,228.25,2.03,1,2,4,55.12,False,True,True,True
CHEMBL116_div,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,505.64,2.4,3,7,11,131.19,False,False,True,False
CHEMBL118_div,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,381.38,3.51,1,3,3,77.98,False,True,True,True
CHEMBL119_div,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,369.43,2.74,3,8,6,117.54,True,True,True,False
CHEMBL11_div,CN(C)CCCN1c2ccccc2CCc2ccccc21,280.42,3.88,0,2,4,6.48,False,True,True,True
CHEMBL121_div,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,357.44,2.49,1,6,7,71.53,False,True,True,True
CHEMBL122_div,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,314.36,2.56,0,4,3,60.44,False,True,True,True
CHEMBL12318_div,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,244.89,0.43,4,2,2,115.06,False,True,True,True
CHEMBL125_div,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,407.58,5.68,0,4,20,58.59,False,False,True,False
CHEMBL12610_div,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,309.41,3.42,0,3,7,30.29,False,True,True,True
CHEMBL126_div,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,337.35,1.12,1,5,4,71.11,True,True,True,False
CHEMBL12713_div,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,440.95,4.63,1,2,5,40.51,False,True,True,True
CHEMBL127_div,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,383.47,-0.31,3,6,5,110.18,False,True,True,True
CHEMBL12856_div,Nc1cc(-c2ccncc2)c[nH]c1=O,187.2,1.02,2,3,1,71.77,False,True,True,True
CHEMBL128_div,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,295.41,1.32,2,3,6,65.2,False,True,True,True
CHEMBL12948_div,CC1CCC(NC(=O)N(CCCl)N=O)CC1,247.73,2.5,1,3,4,61.77,False,True,True,True
CHEMBL129_div,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,267.25,-0.2,2,5,3,133.08,True,True,True,False
