mol_id,smiles,vina_score,status
CHEMBL19019_div,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,-7.426,ok
CHEMBL428690_div,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,-6.857,ok
CHEMBL273264_div,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,-6.326,ok
CHEMBL34259_div,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-5.853,ok
CHEMBL406_div,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,-5.837,ok
CHEMBL295124_div,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,-5.815,ok
CHEMBL31965_div,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,-5.754,ok
CHEMBL422_div,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-5.729,ok
CHEMBL25202_div,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21,-5.527,ok
CHEMBL4062686,Cc1c(COc2cc(F)c(CNC[C@@H](O)CC(=O)O)cc2F)cccc1-c1ccc2c(c1)OCCO2,-5.413,ok
CHEMBL27193_div,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,-5.36,ok
CHEMBL107_div,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,-5.351,ok
CHEMBL431_div,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,-5.304,ok
CHEMBL428880_div,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,-5.301,ok
CHEMBL32_div,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-5.215,ok
CHEMBL428_div,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,-5.204,ok
CHEMBL4093799,NC(=O)c1ccccc1NC(=O)c1ccc(-c2ccccc2)cc1,-5.198,ok
CHEMBL32800_div,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,-5.16,ok
CHEMBL264374_div,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,-5.148,ok
