#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
30000,60.00000000002736,-862224.4274945897,298.9837981757891,1.0262091645885996,0
35000,70.00000000001826,-863645.9615590973,299.9863372573971,1.0292564408183031,273
40000,79.99999999999496,-860171.6809755606,302.18279049482646,1.0279600707353986,274
45000,89.99999999997165,-860992.5522191906,299.92539021958305,1.0272231150775224,273
50000,99.99999999994834,-862835.089759009,301.6470707665216,1.0267770160098426,273
55000,109.99999999992504,-863554.9552346645,299.03092452947556,1.0216841294910128,272
60000,119.99999999990173,-863519.3558334289,300.8954920201518,1.0269766993075977,272
65000,129.99999999989262,-862686.3295934759,302.94789117211786,1.0268532393155874,272
70000,139.99999999994037,-863364.6029239208,299.0630228606373,1.0261712931778086,271
75000,149.99999999998812,-862830.1327153575,299.0567022588963,1.0236851136895133,271
80000,160.00000000003587,-861181.9441058696,302.1260961856654,1.0268159611887488,271
85000,170.00000000008362,-863006.5044407346,300.99956153028836,1.0273716209673593,271
90000,180.00000000013137,-862317.9830569904,299.24771903079943,1.0221692176352162,272
95000,190.0000000001791,-864565.749329647,298.8450424626407,1.026176256882746,272
100000,200.00000000022686,-861240.7489568838,298.5480353057521,1.0256907641213169,272
105000,210.0000000002746,-863467.7618327402,298.35105740708156,1.026858384558634,272
110000,220.00000000032236,-862875.4753628727,301.2432973863886,1.0240264321318369,272
115000,230.0000000003701,-861909.9867052101,299.1729949212297,1.0235716957467373,272
120000,240.00000000041786,-863577.9687789618,300.0611280718245,1.025404078164407,272
125000,250.0000000004656,-862395.0843072156,301.33811070337094,1.0242558583908306,272
