time_ps,ligand_rmsd_A,mol_id
0.0,0.0,CHEMBL406_div
10.0,0.5168867,CHEMBL406_div
20.0,0.40939745,CHEMBL406_div
30.0,0.4115707,CHEMBL406_div
40.0,0.457267,CHEMBL406_div
50.0,0.39985684,CHEMBL406_div
60.0,0.3220498,CHEMBL406_div
70.0,0.49181056,CHEMBL406_div
80.0,0.37168488,CHEMBL406_div
90.0,0.37766117,CHEMBL406_div
100.0,0.42009687,CHEMBL406_div
110.0,0.58067846,CHEMBL406_div
120.0,0.49449578,CHEMBL406_div
130.0,0.29114217,CHEMBL406_div
140.0,0.70264727,CHEMBL406_div
150.0,0.6381137,CHEMBL406_div
160.0,0.47836614,CHEMBL406_div
170.0,0.5377563,CHEMBL406_div
180.0,0.5007621,CHEMBL406_div
190.0,0.51575726,CHEMBL406_div
