time_ps,ligand_rmsd_A,mol_id
0.0,0.0,CHEMBL19019_div
10.0,0.21695957,CHEMBL19019_div
20.0,0.27593726,CHEMBL19019_div
30.0,0.18134637,CHEMBL19019_div
40.0,0.20399171,CHEMBL19019_div
50.0,0.29112703,CHEMBL19019_div
60.0,0.26145262,CHEMBL19019_div
70.0,0.41347936,CHEMBL19019_div
80.0,0.2631614,CHEMBL19019_div
90.0,0.21826991,CHEMBL19019_div
100.0,0.1875966,CHEMBL19019_div
110.0,0.4115003,CHEMBL19019_div
120.0,0.35524064,CHEMBL19019_div
130.0,0.4498785,CHEMBL19019_div
140.0,0.41174358,CHEMBL19019_div
150.0,0.33024278,CHEMBL19019_div
160.0,0.19770506,CHEMBL19019_div
170.0,0.2640586,CHEMBL19019_div
180.0,0.23787268,CHEMBL19019_div
190.0,0.26401886,CHEMBL19019_div
0.0,0.0013049865,CHEMBL428690_div
10.0,0.57737064,CHEMBL428690_div
20.0,0.25658172,CHEMBL428690_div
30.0,0.26683384,CHEMBL428690_div
40.0,0.24994835,CHEMBL428690_div
50.0,0.41284624,CHEMBL428690_div
60.0,0.2753243,CHEMBL428690_div
70.0,0.36707255,CHEMBL428690_div
80.0,0.31813848,CHEMBL428690_div
90.0,0.30884928,CHEMBL428690_div
100.0,0.44756472,CHEMBL428690_div
110.0,0.2722297,CHEMBL428690_div
120.0,0.25780338,CHEMBL428690_div
130.0,0.543857,CHEMBL428690_div
140.0,0.2175456,CHEMBL428690_div
150.0,0.264655,CHEMBL428690_div
160.0,0.38730627,CHEMBL428690_div
170.0,0.297285,CHEMBL428690_div
180.0,0.2741528,CHEMBL428690_div
190.0,0.74274486,CHEMBL428690_div
0.0,0.0,CHEMBL273264_div
10.0,0.23569372,CHEMBL273264_div
20.0,0.24417067,CHEMBL273264_div
30.0,0.24504042,CHEMBL273264_div
40.0,0.32452837,CHEMBL273264_div
50.0,0.2019965,CHEMBL273264_div
60.0,0.26162598,CHEMBL273264_div
70.0,0.3269774,CHEMBL273264_div
80.0,0.2781786,CHEMBL273264_div
90.0,0.35793173,CHEMBL273264_div
100.0,0.19997992,CHEMBL273264_div
110.0,0.28241846,CHEMBL273264_div
120.0,0.33867046,CHEMBL273264_div
130.0,0.21779417,CHEMBL273264_div
140.0,0.224078,CHEMBL273264_div
150.0,0.3983425,CHEMBL273264_div
160.0,0.26962814,CHEMBL273264_div
170.0,0.24756463,CHEMBL273264_div
180.0,0.195847,CHEMBL273264_div
190.0,0.29269946,CHEMBL273264_div
0.0,0.0,CHEMBL34259_div
10.0,0.46452009677886963,CHEMBL34259_div
20.0,0.32026413083076477,CHEMBL34259_div
30.0,0.4388444125652313,CHEMBL34259_div
40.0,0.4387258291244507,CHEMBL34259_div
50.0,0.6346130967140198,CHEMBL34259_div
60.0,0.7381973266601562,CHEMBL34259_div
70.0,0.797646164894104,CHEMBL34259_div
80.0,0.5518043041229248,CHEMBL34259_div
90.0,0.5373003482818604,CHEMBL34259_div
100.0,0.7041600346565247,CHEMBL34259_div
110.0,0.39413079619407654,CHEMBL34259_div
120.0,0.597783088684082,CHEMBL34259_div
130.0,0.47584179043769836,CHEMBL34259_div
140.0,0.5894044041633606,CHEMBL34259_div
150.0,0.5587315559387207,CHEMBL34259_div
160.0,0.5928071737289429,CHEMBL34259_div
170.0,0.5610387921333313,CHEMBL34259_div
180.0,0.4455043077468872,CHEMBL34259_div
190.0,0.4783857464790344,CHEMBL34259_div
0.0,0.0,CHEMBL406_div
10.0,0.5168867111206055,CHEMBL406_div
20.0,0.4093974530696869,CHEMBL406_div
30.0,0.4115706980228424,CHEMBL406_div
40.0,0.45726698637008667,CHEMBL406_div
50.0,0.399856835603714,CHEMBL406_div
60.0,0.3220497965812683,CHEMBL406_div
70.0,0.49181056022644043,CHEMBL406_div
80.0,0.37168487906455994,CHEMBL406_div
90.0,0.37766116857528687,CHEMBL406_div
100.0,0.42009687423706055,CHEMBL406_div
110.0,0.5806784629821777,CHEMBL406_div
120.0,0.49449577927589417,CHEMBL406_div
130.0,0.29114216566085815,CHEMBL406_div
140.0,0.7026472687721252,CHEMBL406_div
150.0,0.6381136775016785,CHEMBL406_div
160.0,0.4783661365509033,CHEMBL406_div
170.0,0.5377563238143921,CHEMBL406_div
180.0,0.5007621049880981,CHEMBL406_div
190.0,0.5157572627067566,CHEMBL406_div
